# phase	boundary	cursor	tier_fnv	wm	used	mapped_bytes
prepare	1	0	43793f7970464123	256	0	71303168
prepare	2	0	43793f7970464123	512	0	71303168
prepare	3	0	43793f7970464123	1024	512	71303168
prepare	4	0	43793f7970464123	1536	1024	138412032
prepare	5	0	43793f7970464123	2048	1536	138412032
prepare	6	0	43793f7970464123	2560	2048	205520896
prepare	7	0	43793f7970464123	3072	2560	205520896
prepare	8	9	3466be753819516e	3584	3072	253755392
prepare	9	18	b660d1fd86116249	4096	3584	253755392
prepare	10	25	c076033408fafaf8	4608	4096	249561088
prepare	11	25	c076033408fafaf8	5120	4608	234881024
prepare	12	28	4737eb0f52ecf387	5632	5120	243269632
prepare	13	42	db38c1676082d68d	6144	5632	276824064
prepare	14	42	db38c1676082d68d	6656	6144	234881024
prepare	15	42	db38c1676082d68d	7168	6656	234881024
prepare	16	42	db38c1676082d68d	7680	7168	234881024
prepare	17	62	7f1e079c6d7ded49	8192	7680	270532608
prepare	18	62	7f1e079c6d7ded49	8704	8192	232783872
prepare	19	62	7f1e079c6d7ded49	9216	8704	232783872
prepare	20	62	7f1e079c6d7ded49	9728	9216	232783872
prepare	21	69	dce85ed36406418d	10240	9728	253755392
prepare	22	69	dce85ed36406418d	10752	10240	232783872
prepare	23	69	dce85ed36406418d	11264	10752	232783872
prepare	24	69	dce85ed36406418d	11776	11264	232783872
prepare	25	82	175c7828e66e593c	12288	11776	257949696
prepare	26	82	175c7828e66e593c	12800	12288	234881024
prepare	27	83	e9de7e4a1b15a53e	13312	12800	236978176
prepare	28	83	e9de7e4a1b15a53e	13824	13312	234881024
prepare	29	83	e9de7e4a1b15a53e	14336	13824	234881024
prepare	30	84	9bf54778d4c3c42c	14848	14336	236978176
prepare	31	114	aafe551302c287a5	15360	14848	243269632
prepare	32	114	aafe551302c287a5	15872	15360	234881024
prepare	33	114	aafe551302c287a5	16384	15872	234881024
prepare	34	0	43793f7970464123	512	0	71303168
prepare	35	0	43793f7970464123	1024	512	71303168
prepare	36	0	43793f7970464123	1536	1024	138412032
prepare	37	0	43793f7970464123	2048	1536	138412032
prepare	38	0	43793f7970464123	2560	2048	205520896
prepare	39	0	43793f7970464123	3072	2560	205520896
prepare	40	9	3466be753819516e	3584	3072	253755392
prepare	41	18	b660d1fd86116249	4096	3584	253755392
prepare	42	25	c076033408fafaf8	4608	4096	249561088
prepare	43	25	c076033408fafaf8	5120	4608	234881024
prepare	44	28	4737eb0f52ecf387	5632	5120	243269632
prepare	45	42	db38c1676082d68d	6144	5632	276824064
prepare	46	42	db38c1676082d68d	6656	6144	234881024
prepare	47	42	db38c1676082d68d	7168	6656	234881024
prepare	48	42	db38c1676082d68d	7680	7168	234881024
prepare	49	62	7f1e079c6d7ded49	8192	7680	270532608
prepare	50	62	7f1e079c6d7ded49	8704	8192	232783872
prepare	51	62	7f1e079c6d7ded49	9216	8704	232783872
prepare	52	62	7f1e079c6d7ded49	9728	9216	232783872
prepare	53	69	dce85ed36406418d	10240	9728	253755392
prepare	54	69	dce85ed36406418d	10752	10240	232783872
prepare	55	69	dce85ed36406418d	11264	10752	232783872
prepare	56	69	dce85ed36406418d	11776	11264	232783872
prepare	57	82	175c7828e66e593c	12288	11776	257949696
prepare	58	82	175c7828e66e593c	12800	12288	234881024
prepare	59	83	e9de7e4a1b15a53e	13312	12800	236978176
prepare	60	83	e9de7e4a1b15a53e	13824	13312	234881024
prepare	61	83	e9de7e4a1b15a53e	14336	13824	234881024
prepare	62	84	9bf54778d4c3c42c	14848	14336	236978176
prepare	63	114	aafe551302c287a5	15360	14848	243269632
prepare	64	114	aafe551302c287a5	15872	15360	234881024
prepare	65	114	aafe551302c287a5	16384	15872	234881024
prepare	66	0	43793f7970464123	512	0	71303168
prepare	67	0	43793f7970464123	1024	512	71303168
prepare	68	0	43793f7970464123	1536	1024	138412032
prepare	69	0	43793f7970464123	2048	1536	138412032
prepare	70	0	43793f7970464123	2560	2048	205520896
prepare	71	0	43793f7970464123	3072	2560	205520896
prepare	72	9	3466be753819516e	3584	3072	253755392
prepare	73	18	b660d1fd86116249	4096	3584	253755392
prepare	74	25	c076033408fafaf8	4608	4096	249561088
prepare	75	25	c076033408fafaf8	5120	4608	234881024
